0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
-122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,13.4,15.7,22.1,39.3,,77,270.3,271.4,249.4,205.7,136.7,90.6,,,
-121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,13.8,16.3,23.1,48.8,,78,271.8,272.8,250.8,207,137.5,91,,,
-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,14.2,16.8,24.1,63.9,,78.9,273.2,274.2,252.2,208.2,138.3,91.5,,,
-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,14.6,17.3,25.3,82.4,,79.7,274.4,275.6,253.6,209.4,139,91.9,,,
-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,15.1,18.1,26.6,98.4,,80.5,275.6,277,254.8,210.5,139.8,92.2,,,
-117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,15.6,18.8,28.3,108.5,,81.2,277.1,278.8,256.1,211.5,140.6,92.7,,,
-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,16.1,19.8,30.3,113.9,,82,278.8,280.2,257.6,212.8,141.4,93.3,,,
-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,16.7,20.8,32.9,118,,82.6,279.7,281.4,259,214.1,142.1,93.8,,,
-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,19.2,17.3,22.1,36.6,120.7,,83.2,280.9,282.8,260.3,215.1,142.8,94.4,,,
-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,19.8,18.1,23.6,42.2,123.2,,83.7,282.7,284,261.6,216.1,143.3,94.8,,,
-112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,20.4,19,25.4,50.8,124.9,,84.3,283.9,285.2,262.9,217.1,143.7,95.2,,,
-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,21.1,20.2,27.8,65.8,126.8,,84.9,285.3,287.1,264.1,218.2,144.6,95.5,,,
-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,22.2,21.7,30.8,93.2,128.1,,85.5,286.8,288.6,265.6,219.5,145.7,95.8,,,
-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,6.1,23.3,23.7,35.7,129.5,129.6,,86.1,288.5,290.1,267.3,220.9,146.5,96.3,,,
-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.1,24.8,26.4,42.4,161.2,131.1,,86.8,289.9,291.7,268.7,221.9,147.1,96.9,,,
-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,6.2,26.9,30.3,53.7,179.1,132.2,,87.3,291.5,293.1,269.9,222.9,147.7,97.4,,,
-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.4,30.4,35.9,74.6,188.2,133.3,,87.8,293.2,294.4,271.3,224.2,148.2,97.9,,,
-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,7.1,6.5,35.3,44.6,114.4,194.6,134.5,,88.5,294.8,296.2,272.9,225.7,148.9,98.2,,,
-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,7.3,6.7,44.4,60.8,166.6,199.6,135.8,,89.2,296.2,297.9,274.1,226.6,149.7,98.5,,,
-103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,7.4,6.8,61.1,92.7,208.9,203.2,136.8,,89.8,297.6,299.1,275.5,227.4,150.5,98.9,,,
-102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.5,7.5,7,99.7,146.3,231.1,206.3,137.8,,90.5,299.4,300.4,276.9,228.4,151.3,99.4,,,
-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,4.9,6.6,7.7,7.2,158,205.5,242.6,208.8,138.6,,90.8,300.6,302.4,278.3,229.4,152.2,99.8,,,
-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.8,5,6.8,8,7.4,217.4,246.1,250,211,139.3,,91,302.1,304.4,279.7,230.6,153.2,100.2,,,
-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.9,5,6.9,8.2,7.5,255.1,266.4,256,213.9,140.2,,91.7,304,306,281.4,231.8,153.9,100.6,,,
-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,4.9,5.1,7.1,8.4,7.7,271.9,277.1,260.6,215.4,141.2,,92.4,305.5,307.4,283.1,233.3,154.5,101,,,
-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7,5,5.3,7.2,8.5,7.9,280.9,284.7,264.4,217.4,142.2,,92.9,307.4,309.1,284.3,234.8,155.3,101.7,,,
-96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.1,5.4,7.4,8.6,8,286.5,290,267.2,219.6,143.1,,93.3,309,310.9,285.5,235.7,156.1,102.6,,,
-95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,6,5.2,5.5,7.6,8.9,8.2,291,294.5,270.3,221.4,144.2,,93.8,310.3,312.4,286.8,236.5,156.8,103.1,,,
-94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,6.2,5.4,5.7,7.8,9.1,8.3,294.3,297.9,273.1,222.8,145.2,,94.2,312.3,314.3,288.2,237.9,157.5,103.5,,,
-93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,6.3,5.5,5.8,7.9,9.4,8.4,297.3,300.9,275.5,224.7,146.3,,94.9,314.1,316.1,290,239.3,158.2,103.8,,,
-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,6.4,5.6,5.9,8.2,9.7,8.6,299.7,304,278.1,226.3,147.4,,95.6,315.5,317.5,291.9,240.4,159,104.2,,,
-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,4,6.6,5.7,6.1,8.4,10,8.8,302,306.7,280.4,227.6,148.2,,96.3,316.4,319.2,293.3,241.5,159.8,104.7,,,
-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.3,6.7,5.8,6.3,8.6,10.4,9.1,304.3,309.1,282.4,229.7,148.8,,97,318.8,320.8,294.9,243.1,160.6,105.3,,,
-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4.4,6.8,5.9,6.5,8.9,10.6,9.4,306.5,311.2,284.3,231.3,149.8,,97.6,320.5,322.1,296.6,244.7,161.4,105.8,,,1.2
-88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.3,,,,4.2,5.1,4.4,7,6,6.6,9.2,10.7,9.5,308.5,313,286.4,232.8,150.8,,98.1,322.1,323.7,298.5,245.9,162.2,106.4,,,0.9
-87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,3.4,,,,4.3,5.1,4.4,7.2,6.2,6.7,9.4,11,9.7,310.3,315.4,288.2,234.1,151.8,,98.6,323.4,325.4,300.2,247,163,106.8,,,1
-86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,3.5,,,3.5,4.4,5.2,4.6,7.4,6.3,6.8,9.7,11.4,9.9,312.5,317.4,290.6,235.9,152.9,,99.1,325.5,327.2,301.6,248.2,163.8,107.2,,,1.1
-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,1.1,3.5,3.8,3.5,3.6,4.5,5.3,4.7,7.4,6.4,7.1,9.9,11.7,10.1,314.5,319.1,292.3,237.4,153.7,,99.6,327.2,328.9,303,249.5,164.5,107.5,,,1.1
-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,1,3.6,3.8,3.5,3.6,4.6,5.4,4.8,7.5,6.6,7.3,10.2,11.9,10.5,316.3,321.2,293.7,238.8,154.4,,100.1,329.2,330.5,304.7,250.8,165.3,107.9,,,1.1
-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.9,3.8,3.9,3.6,3.6,4.8,5.6,4.9,7.7,6.7,7.5,10.6,12.3,10.8,318.2,323.1,296.3,240.1,155.4,,100.7,330.6,332.5,306.7,252.1,166.1,108.5,,,1.1
-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,3.6,4.2,1,3.8,4,3.7,3.7,4.9,5.7,5.1,7.9,6.9,7.7,10.9,12.7,11.1,319.9,324.8,297.8,241.9,156.4,,101.2,332.2,334.8,308.2,253.4,166.9,109.2,,,1.1
-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,1.1,2.8,3.7,4.4,1.1,3.9,4.1,3.8,3.9,5.1,5.9,5.2,8.1,7.1,8,11.3,13,11.3,322.1,327,299.1,243.3,157.1,,101.7,334.2,336.6,309.8,254.6,167.6,109.7,,1.4,1.1
-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1,3.1,3,1,2.9,3.8,4.5,1,4,4.3,3.9,4,5.3,6.1,5.3,8.3,7.3,8.2,11.6,13.2,11.6,323.8,329.1,301.1,244.6,157.8,,102.2,335.8,338,311.4,255.8,168.4,110.2,1.4,1.4,1
-79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.7,0.9,3.2,3.1,1.1,3,3.9,4.6,1,4,4.4,4,4,5.4,6.2,5.4,8.5,7.5,8.5,12,13.7,11.9,326.1,331,302.9,245.9,158.7,,102.7,337.5,339.7,312.7,257,169.2,110.7,1.4,1.5,1.2
-78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,2.8,0.7,3.3,3.1,1.2,3.1,4,4.7,1.1,4.2,4.4,4,4.2,5.6,6.4,5.6,8.7,7.7,8.7,12.4,14.3,12.3,328.6,332.9,304.6,247.5,159.6,,103.2,339.4,341.8,314.6,258.4,169.9,111.2,1.4,1.5,1.4
-77,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.3,2.9,0.8,3.4,3.1,1.2,3.2,4.2,4.8,1.2,4.3,4.4,4.1,4.4,5.8,6.6,5.7,8.9,8,9.1,12.9,14.6,12.8,329.8,335,306.3,248.9,160.7,,103.8,340.9,343.1,316.6,259.8,170.8,111.5,1.3,1.6,1.4
-76,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.1,3.4,3,0.8,3.4,3.2,1.4,3.2,4.3,4.9,1.4,4.3,4.6,4.2,4.5,6,6.8,5.8,9.1,8.2,9.5,13.3,15,13.3,331.3,337,308.8,250.7,161.7,,104.3,342.6,344.8,317.9,261.2,171.6,111.8,1.2,1.5,1.3
-75,,,,,,,,,,,,,,,,,,,,,,,,2,2.7,2.6,2.4,3.2,3.4,3,1,3.5,3.3,1.4,3.3,4.5,5,1.4,4.4,4.7,4.3,4.6,6.2,7,5.9,9.4,8.4,9.8,13.7,15.4,13.8,333.5,338.9,310.3,251.8,162.6,,104.8,344.7,346.8,319.4,262.6,172.4,112.3,1.4,1.3,1.1
-74,,,,,,,,,,,,,,,,,,,,,,,,2.1,2.7,2.7,2.4,3.3,3.5,3.1,0.9,3.5,3.3,1.4,3.4,4.5,5.2,1.4,4.5,4.7,4.5,4.7,6.4,7.2,6,9.7,8.7,10.2,14.1,15.9,14.5,335.4,341.1,312.3,253.9,163.6,,105.2,346.4,349,321.3,263.9,173.1,112.8,1.4,1.5,1.5
-73,,,,,,,,,,,,,,,,,,,,,,,2.4,2.1,2.7,2.7,2.5,3.4,3.7,3.2,0.9,3.6,3.4,1.4,3.5,4.5,5.3,1.3,4.7,4.8,4.5,4.8,6.5,7.3,6.2,10,9,10.5,14.6,16.6,15.2,337.7,343,314,255.2,164.4,,105.7,348.3,351.3,323.1,265.3,173.9,113.4,1.6,1.7,1.7
-72,,,,,,,,,,,,,,,,,,,,,,,2.5,2,2.7,2.6,2.5,3.5,3.8,3.3,0.9,3.7,3.5,1.4,3.6,4.7,5.5,1.3,4.9,4.9,4.5,4.9,6.7,7.5,6.4,10.2,9.3,10.8,15.2,17.3,16.2,339.5,344.9,315.9,256.4,165.3,,106.2,349.8,353.2,324.8,266.5,174.6,113.9,1.7,1.8,1.6
-71,,,,,,,,,,,,,,,,,,,,,,2.2,2.6,2.1,2.7,2.7,2.6,3.5,3.9,3.4,0.9,3.8,3.6,1.5,3.7,4.9,5.5,1.4,5.1,5.1,4.7,5,6.9,7.8,6.6,10.5,9.6,11.4,15.9,18,17.2,341.2,347,317.9,257.8,166.2,,106.8,351.7,355.1,326.5,267.7,175.6,114.4,1.6,1.9,1.6
-70,,,,,,,,,,,,,,,,,,,1.8,2.1,1.8,2.3,2.7,2.1,2.8,2.8,2.7,3.6,4,3.5,1,3.9,3.7,1.6,3.8,5.1,5.6,1.5,5.1,5.1,4.8,5.1,7.1,8.1,6.8,10.8,10,12,16.7,18.8,18.6,343.4,349.2,319.5,259.3,167,,107.4,353.7,356.8,328.4,269.3,176.7,114.9,1.7,1.9,1.5
-69,,,,,,,,,,,,,,,,,,1.2,1.8,2.2,1.8,2.4,2.6,2.3,2.8,2.9,2.8,3.7,4.1,3.5,1.2,4,3.7,1.5,3.9,5.3,5.9,1.7,5.2,5.3,4.9,5.2,7.3,8.2,7,11.2,10.3,12.5,17.5,19.9,20.7,345.6,351.3,321.5,260.8,168.1,,107.9,355.6,358.8,330.4,270.9,177.6,115.5,1.7,1.9,1.6
-68,,,,,,,,,,,,,,,,,,1.2,1.9,2.3,1.9,2.5,2.6,2.4,2.9,2.8,2.9,3.9,4.3,3.6,1.2,4.1,3.9,1.7,4,5.4,6.1,1.8,5.3,5.4,4.9,5.4,7.5,8.4,7.2,11.6,10.8,13,18.4,21,23.1,347.5,352.9,323.7,262.3,169.3,,108.4,357.8,360.6,332.2,272.5,178.5,116,1.8,1.9,1.7
-67,,,,,,,,,,,,,,,,,1.7,1.3,1.9,2.3,1.9,2.5,2.8,2.5,2.9,2.9,3,4,4.3,3.6,1.1,4.1,4,1.8,4.1,5.5,6.3,1.6,5.4,5.5,5.1,5.6,7.8,8.6,7.3,12,11.2,13.9,19.3,22.2,27.7,349.3,355.4,325.8,264.1,170.1,,109.1,359.9,362.4,333.9,274.1,179.3,116.4,1.8,2,1.7
-66,,,,,,,,,,,,,,,,1.6,1.8,1.4,2,2.3,2,2.5,2.9,2.5,3,3,3.1,4.1,4.4,3.7,1.1,4.2,4.1,1.8,4.2,5.8,6.4,1.5,5.6,5.7,5.3,5.9,8.1,8.8,7.5,12.5,11.7,14.7,20.4,24.1,34.7,352,357.9,326.8,265.5,170.8,,109.9,361.7,365.1,335.6,275.4,180,116.7,1.8,2.1,1.7
-65,,,,,,,,,,,,,1.4,1.7,1.4,1.6,1.7,1.4,2,2.4,2.1,2.7,3,2.6,3.1,3.1,3.1,4.2,4.5,3.9,1.2,4.4,4.3,1.8,4.4,6,6.7,1.6,5.9,5.8,5.4,6.1,8.4,9.2,7.8,13,12.2,15.5,21.5,26.3,46.2,354.1,359.4,329.1,267,171.7,,110.4,363.8,367.5,337.6,276.8,180.8,117.4,2,2,1.8
-64,,,,,,,,,,,,,1.4,1.8,1.4,1.6,1.7,1.4,2.1,2.4,2.1,2.8,3.1,2.6,3.2,3.1,3.2,4.3,4.7,4,1.3,4.5,4.3,1.8,4.6,6.2,6.9,1.7,6,5.9,5.5,6.2,8.7,9.5,8.1,13.5,12.9,16.5,23,29.2,60.3,355.6,361.5,331,268.6,172.6,,110.9,365.7,369.2,339.8,277.7,181.6,118.2,2,2,1.8
-63,,,,,,,,,,,,,1.4,1.8,1.4,1.7,1.8,1.4,2.2,2.4,2.1,2.9,3.1,2.6,3.3,3.2,3.3,4.5,4.8,4,1.5,4.6,4.4,1.9,4.7,6.3,7.1,1.8,6.1,6.1,5.6,6.4,9.1,9.9,8.4,13.9,13.6,17.8,24.8,33.8,72.6,357.7,363.9,332.6,270.1,173.5,,111.5,367.5,371,341.5,279.7,182.4,118.6,2.2,2.3,1.8
-62,,,,,,,,,,,,0.8,1.4,1.8,1.4,1.7,1.8,1.5,2.3,2.4,2.2,3,3.2,2.7,3.4,3.3,3.4,4.6,4.8,4.1,1.3,4.7,4.5,1.9,4.8,6.5,7.4,1.9,6.3,6.3,5.8,6.7,9.4,10.2,8.6,14.5,14.6,19.2,26.8,41.2,80.5,359.9,365.9,334.7,271.7,174.4,,112,369.5,373.1,343.2,281,183.1,119,2.2,2.5,1.8
-61,,,,,,,,,,,0.8,0.9,1.5,1.8,1.4,1.8,1.8,1.5,2.4,2.4,2.3,3.1,3.3,2.8,3.5,3.4,3.5,4.8,5.2,4.3,1.4,4.8,4.6,2,4.9,6.7,7.6,1.8,6.4,6.5,6,7,9.8,10.6,8.9,15.2,15.7,21,29.5,53.7,85.6,361.8,367.9,336.9,273,175.5,,112.6,372,375.2,344.8,282.3,184.2,119.4,2.3,2.6,1.9
-60,,,,,,,1,1.3,0.9,1,0.8,0.8,1.5,1.9,1.5,1.9,1.9,1.5,2.4,2.5,2.4,3.2,3.5,2.9,3.5,3.4,3.6,5,5.5,4.4,1.6,4.9,4.8,2,5.1,7,7.8,1.8,6.7,6.7,6.2,7.3,10.2,11,9.2,16.2,17.1,23.1,33.5,74.5,88.8,364,369.8,338.5,274.9,176.5,,113.3,374,377.9,346.7,284.1,185.4,119.9,2.6,2.8,2
-59,,,,,,,1,1.4,1,1,0.8,0.7,1.6,1.9,1.6,2,2,1.6,2.4,2.6,2.5,3.3,3.5,3,3.6,3.5,3.8,5.2,5.6,4.5,1.7,5.1,5,2.2,5.3,7.3,8,2,6.9,6.9,6.4,7.6,10.6,11.4,9.5,17.3,19,26.2,38.3,100,91,366.2,372.2,341.4,276.4,177.4,,113.7,375.6,379.9,348.7,285.7,186.1,120.3,2.6,2.7,2
-58,,,,,,,1.1,1.4,1,1,0.8,0.8,1.6,2,1.7,2,2.1,1.7,2.4,2.7,2.6,3.4,3.5,3,3.8,3.7,3.9,5.4,5.6,4.6,1.8,5.2,5.1,2.3,5.5,7.6,8.3,2.2,7.1,7.1,6.6,7.9,11.1,11.8,10,18.7,21.3,29.9,45.4,121.6,92.7,368.3,374.7,343.3,277.8,178.3,,114,377.6,381.6,350.8,287.2,186.6,120.8,2.3,2.8,2
-57,,,,,,,1.1,1.3,1,1,0.9,0.9,1.6,2,1.7,2,2.1,1.8,2.5,2.7,2.7,3.5,3.7,3.1,3.9,3.8,4,5.5,5.9,4.8,1.6,5.3,5.2,2.4,5.7,7.9,8.6,2.2,7.3,7.4,6.9,8.3,11.5,12.2,10.4,20.8,24.5,35.1,57.4,134.8,94.7,370.7,376.5,344.6,279.7,179.3,,114.5,379.8,383.8,352.7,288.8,187.6,121.3,2.5,2.8,2.1
-56,,,,,,0.1,1.1,1.2,1,1.1,0.9,0.8,1.7,2.1,1.8,2.1,2.2,1.8,2.6,2.8,2.7,3.5,3.8,3.2,3.9,3.8,4.2,5.7,6.1,4.9,1.7,5.4,5.3,2.5,5.9,8.3,9,2.1,7.4,7.7,7.2,8.8,12,12.7,10.9,23.8,28.8,42.3,79.2,142.2,95.9,373,378.9,347,281.1,180.3,,115.1,382.1,385.8,354.3,290,188.7,121.8,2.7,2.8,2.1
-55,0.7,1,0.5,0.2,0.3,0.1,1.1,1.3,1.1,1.2,1,0.8,1.7,2.1,1.8,2.1,2.2,1.8,2.7,3,2.8,3.7,3.9,3.3,4,3.9,4.4,6,6.3,5.1,1.8,5.6,5.4,2.4,6.2,8.7,9.4,2.2,7.5,7.9,7.6,9.2,12.6,13.3,11.5,28.4,35.6,54.7,118.1,147.3,97.1,375,381.1,349.1,282.6,181.2,,115.7,384.3,387.9,356.7,291.2,189.5,122.6,2.8,3.1,2.2
-54,0.7,1.1,0.5,0.2,0.3,0.1,1.1,1.4,1.1,1.2,1,0.8,1.7,2,1.7,2.2,2.3,1.8,2.8,3,2.9,4,4,3.4,4,4,4.5,6.2,6.4,5.2,1.9,5.8,5.7,2.8,6.6,9,9.8,2.2,8,8.2,7.9,9.7,13.2,13.9,12.2,35.4,45.8,75.4,167.6,150.9,98,376.9,383.1,351.4,284,182.1,,116.4,386.7,390.6,358.7,293.2,190.3,123.3,2.8,3.3,2.4
-53,0.7,1.1,0.5,0.2,0.3,0.1,1.1,1.4,1.1,1.1,1,0.8,1.7,2,1.8,2.3,2.4,1.9,2.8,3,3,4,4.2,3.4,4.2,4.2,4.7,6.5,6.6,5.4,2,6,5.9,2.9,6.9,9.3,10.1,2.2,8.5,8.4,8.3,10.2,13.9,14.6,13.1,49.2,64.8,118.6,206.9,153.8,99,379.1,385.7,352.6,286.2,182.9,,117,387.8,393.1,360.6,294.9,191.1,123.7,3.2,3.7,2.3
-52,0.7,1,0.6,0.2,0.3,0.1,1.1,1.5,1.1,1.2,1,0.8,1.8,2.1,1.9,2.4,2.5,1.9,2.9,3.1,3.1,4.1,4.3,3.5,4.3,4.4,4.9,6.7,6.9,5.5,2,6.1,6.2,3.1,7.1,9.8,10.4,2.4,8.7,8.7,8.7,10.9,14.7,15.4,14.1,76.4,101.6,181.1,229.1,156.7,99.8,381.4,387.8,354.9,287.4,183.7,,117.5,390.3,394.8,362.6,296.3,192,124,2.9,3.7,2.5
-51,0.7,1,0.6,0.2,0.3,0.1,1.2,1.5,1.2,1.2,1.1,0.8,1.8,2.2,2,2.4,2.6,2,3,3.2,3.2,4.3,4.5,3.7,4.5,4.5,5.1,7,7.2,5.7,2.2,6.3,6.4,3.2,7.5,10.3,10.8,2.6,8.9,9.1,9.1,11.6,15.6,16.4,15.3,136.8,169.9,243.2,241.4,158.6,100.5,383.5,389.8,356.7,289,184.7,,117.8,392.4,396.6,364.2,297.6,192.7,124.6,3.1,3.7,2.6
-50,0.7,1,0.7,0.2,0.3,0.1,1.2,1.4,1.2,1.2,1.2,0.9,2,2.2,2.1,2.5,2.7,2.1,3,3.3,3.4,4.5,4.8,3.8,4.6,4.5,5.4,7.3,7.5,6,2.4,6.5,6.6,3.2,8,10.8,11.2,2.7,9.4,9.5,9.6,12.4,16.6,17.5,17,220.6,251.6,285.7,249.3,160.4,101.3,385.7,392.2,359.4,290.8,185.8,,118,394.7,399.1,366.4,299.1,193.3,125.2,3.3,3.8,2.6
-49,0.8,1.1,0.7,0.2,0.3,0.1,1.2,1.5,1.2,1.2,1.2,0.9,2.1,2.2,2.1,2.5,2.7,2.2,3.1,3.4,3.5,4.7,4.9,3.9,4.7,4.7,5.6,7.5,7.8,6.2,2.5,6.8,6.9,3.5,8.4,11.4,11.8,2.6,9.8,9.9,10.3,13.2,17.7,19.1,19.7,291.4,310.9,306.2,255.4,162.3,102.1,387.8,394.6,361.6,292.2,186.6,,118.8,397.1,401.5,368.7,300.6,194.4,125.6,3.4,3.9,2.6
-48,0.8,1.1,0.7,0.1,0.4,0.1,1.2,1.5,1.2,1.3,1.3,1,2.2,2.3,2.2,2.7,2.8,2.2,3.2,3.4,3.7,4.9,5,4,4.9,5,5.8,7.8,8.1,6.5,2.5,7.1,7.3,3.5,9,12.1,12.4,2.6,10.5,10.5,11.1,14.4,19,21,23.8,331.2,340.4,319.3,260.6,163.8,102.8,390.2,396.9,363.4,293.5,187.4,,119.8,399.1,403.5,370.9,302.1,195.6,125.9,3.6,4.1,2.7
-47,0.8,1,0.7,0.1,0.4,0.1,1.3,1.6,1.3,1.3,1.2,1,2.2,2.4,2.3,2.9,2.9,2.3,3.2,3.4,3.8,5,5.2,4.1,5,5.2,6.1,8.1,8.4,6.8,2.7,7.5,7.7,3.8,9.5,12.8,13.1,2.8,11.2,11.1,11.9,15.7,20.8,23.3,30,349.5,356.4,328,264,165.3,103.5,392.7,398.7,365.1,295.3,188.4,,120.2,401,405.6,372.6,303.7,196.6,126.4,3.6,4.2,2.8
-46,0.8,1,0.7,0.1,0.4,0.2,1.3,1.7,1.3,1.4,1.2,1.1,2.2,2.5,2.4,3,3,2.4,3.3,3.5,3.9,5.2,5.4,4.2,5.2,5.4,6.4,8.6,8.7,7.1,2.7,7.9,8.1,3.9,10.2,13.6,13.8,3,12.2,11.7,12.9,17.2,22.7,26.5,39.8,359.3,366.3,334.7,267.8,166.8,104.1,394.9,400.8,366.6,296.8,189.4,,120.5,403.3,408.3,374.1,305.9,197.5,126.9,3.8,4.3,3
-45,0.7,1,0.7,0.1,0.4,0.2,1.3,1.7,1.3,1.6,1.3,1.2,2.2,2.5,2.5,3.1,3.1,2.5,3.5,3.6,4,5.5,5.6,4.5,5.4,5.6,6.9,9.1,9.2,7.4,3,8.2,8.6,4.1,10.9,14.4,14.9,3.2,13.3,12.5,14.1,19.2,25.2,31.3,53.5,367,374.8,340.2,271.3,168.1,104.7,397.2,403.5,369.8,298.4,190.1,,121,405.9,410.4,376.2,306.8,198.3,127.6,4,4.5,3.2
-44,0.7,1.1,0.7,0,0.4,0.2,1.3,1.7,1.3,1.7,1.4,1.2,2.2,2.6,2.5,3.2,3.3,2.5,3.7,3.8,4.4,5.8,5.8,4.7,5.7,5.8,7.3,9.6,9.7,7.7,3,8.6,9.2,4.3,11.6,15.4,16,3.5,14.8,13.6,15.8,21.6,28.5,38.6,67.7,372.4,380.8,345.3,273.8,169.4,105.4,399.5,406.1,370.9,299.9,190.6,,121.6,407.8,412.8,378.7,308.5,199.1,128.4,4,4.8,3.5
-43,0.8,1.1,0.8,0,0.4,0.3,1.3,1.8,1.4,1.8,1.5,1.2,2.3,2.6,2.7,3.4,3.4,2.6,3.8,4,4.7,6.1,6,4.9,5.9,6.1,7.7,10.2,10.1,8.2,3.1,9,9.9,4.2,12.7,16.4,17.2,3.9,16.9,14.9,17.9,24.5,32.9,51.6,78.7,377.2,385.5,349.4,276.6,170.6,106,401.4,408.1,373.3,301.6,191.7,,122.2,410.1,415.2,380.7,310.3,200.1,129,4,5.1,4
-42,0.8,1.1,0.8,0.1,0.4,0.3,1.3,1.8,1.5,1.8,1.5,1.2,2.4,2.6,2.8,3.5,3.5,2.7,4,4.2,4.9,6.4,6.2,5,6.2,6.5,8.1,10.9,10.6,8.7,3.2,9.6,10.7,4.7,14,18,19.2,4.5,19.9,17,20.9,29,39,72.9,85.9,381.2,389.3,353.2,279.6,171.8,106.9,403.1,410,375.3,303,193,,122.9,412.4,417.1,382.4,311.7,201,129.5,4.3,5.5,4.6
